factor_code,part_number,quantity
factor_code,part_number,quantity
396,15-1380,2.0
800,9302-271,0.005
800,33-13035,0.06
902,9300-662,6.0
902,33-1680,0.05
902,33-1380,1.0
902,9302-240,2.0
902,9300-100,0.008
902,33-1720,0.0008
902,33-1160,0.0008
801,9302-240,6.0
801,9300-100,0.14
801,33-1720,0.01
801,33-1160,0.01
801,33-1180,1.0
801,9302-245,3.0
397,33-2020,2.0
397,33-2000,0.08
370.7,0002-20,1.0
370.7,9300-120,1.0
370.7,30-2600,1.0
370.7,33-2380,2.0
370.7,9301-244,1.0
498,9302-240,30.0
498,9300-100,5.0
498,33-1720,1.0
498,33-1160,1.0
498,9302-241,2.0
498,33-1340,35.0
498,33-1360,1.0
903,5010-000,0.35
802,9302-240,4.0
802,9300-100,0.04
802,33-1720,0.0044
802,33-1160,0.0044
802,33-1180,1.0
802,9302-245,3.0
600,40-1440,1.0
398,15-1440,2.0
370.8,0002-40,1.0
370.8,9300-140,1.0
370.8,33-2380,2.0
370.8,33-1140,1.0
499,9302-240,40.0
499,9300-100,10.0
499,33-1720,2.0
499,33-1160,2.0
499,9302-241,2.0
499,33-1340,60.0
499,40-1462,3.0
904,9302-240,7.0
904,9300-100,0.3
904,33-1720,0.3
904,33-1160,0.3
904,33-1540,0.33
803,9302-240,2.0
803,9300-100,0.008
803,33-1720,0.0008
803,33-1160,0.0008
601,40-1501,1.0
399,150-180,2.0
261.1,15-2120,1.0
261.1,15-2080,1.0
261.1,15-2040,2.0
261.1,15-1640,2.0
261.1,9301-301,1.0
261.1,9301-250,2.0
261.1,15-1720,1.0
500,9302-240,20.0
500,9300-100,3.0
500,33-1720,1.0
500,33-1160,0.3
500,9302-241,2.0
500,33-1340,40.0
500,40-1462,2.0
370.9,30-2520,1.0
370.9,33-4510,2.0
370.9,33-1140,1.0
370.9,22-1530,1.0
905,9303-002,225.0
804,9302-240,7.0
804,9300-100,0.38
804,33-1720,0.03
804,33-1160,0.03
804,33-1180,1.0
804,9302-245,3.0
602,40-1385,1.0
400,40-5218,1.0
400,9301-210,0.12
501,9302-240,16.0
501,9300-100,1.0
501,33-1720,0.31
501,33-1160,0.1
501,9302-241,1.0
501,33-1340,30.0
501,40-1462,2.0
401,9301-180,1.0
401,33-2020,2.0
401,33-2000,0.08
259.1,13-1602,1.0
259.1,13-1603,2.0
259.1,13-1604,3.0
259.1,15-2021,1.0
259.1,15-2022,4.0
259.1,15-2023,2.0
259.1,9301-301,1.0
259.1,9301-250,2.0
300,13-1500,1.0
300,15-2120,1.0
300,15-2080,1.0
300,15-2040,2.0
300,15-1640,3.0
300,9301-301,1.0
300,9301-250,2.0
502,9302-240,14.0
502,9300-100,1.0
502,33-1720,0.23
502,33-1160,0.23
502,9302-241,1.0
502,33-1340,22.0
502,40-1462,1.0
906,33-1120,6.0
604,40-1620,1.0
402,40-5218,1.0
402,9301-210,0.04
360.2,30-2440,1.0
360.2,33-2380,2.0
360.2,33-1140,1.0
360.2,33-2040,1.0
503,9302-240,11.0
503,9300-100,0.7
503,33-1720,0.19
503,33-1160,0.1
503,9302-241,1.0
503,33-1340,20.0
503,40-1462,1.0
200,9300-300,0.15
200,33-1120,0.1
605,40-1560,1.0
605,40-1620,1.0
360.3,30-2440,1.0
360.3,33-2040,1.0
360.3,33-4500,1.0
360.3,33-4510,2.0
504,9302-240,10.0
504,9300-100,0.4
504,33-1720,0.12
504,33-1160,0.12
504,9302-241,1.0
504,33-1340,17.0
504,40-1462,1.0
201,9300-320,0.15
201,33-1120,0.1
100,9300-120,0.12
100,9301-120,0.4
100,9301-140,0.6
606,40-1640,1.0
606,40-1560,1.0
101,9300-120,0.09
101,9301-120,0.75
101,9301-140,0.25
360.4,30-2440,1.0
360.4,33-2380,2.0
360.4,33-2040,1.0
360.4,33-2580,1.0
505,9302-240,9.0
505,9300-100,0.3
505,33-1720,0.06
505,33-1160,0.04
505,9302-241,1.0
505,33-1340,15.0
505,40-1462,1.0
202,9300-340,0.1
202,33-1120,0.1
102,9300-120,0.06
506,9302-240,8.0
506,9300-100,0.2
506,33-1720,0.04
506,33-1160,0.04
506,9302-241,1.0
506,33-1340,12.0
506,40-1462,1.0
203,9300-360,0.1
203,33-1120,0.1
507,9302-240,7.0
507,9300-100,0.25
507,33-1720,0.03
507,33-1160,0.02
507,33-1180,2.0
507,9302-245,4.0
507,33-1340,10.0
507,40-1462,1.0
204,9300-380,0.07
204,33-1120,0.1
508,9302-240,7.0
508,9300-100,0.15
508,33-1720,0.03
508,33-1160,0.03
508,33-1180,2.0
508,9302-260,2.0
508,33-1340,10.0
508,40-1462,1.0
205,9300-400,0.05
205,33-1120,0.1
610,40-1580,1.0
610,40-1620,1.0
509,9302-240,7.0
509,9300-100,0.15
509,33-1720,0.03
509,33-1160,0.03
509,9302-250,2.0
509,9302-255,2.0
509,33-1340,10.0
509,40-1462,1.0
206,9300-420,0.05
206,33-1120,0.1
611,40-1640,1.0
611,40-1580,1.0
510,9302-240,6.0
510,9300-100,0.05
510,33-1720,0.01
510,33-1160,0.008
510,33-1180,2.0
510,9302-245,3.0
207,9300-440,0.05
207,33-1120,0.1
250.1,0002-10,1.0
250.1,9301-244,1.0
250.1,33-2380,2.0
511,9302-240,6.0
511,9300-100,0.05
511,33-1720,0.01
511,33-1160,0.01
511,33-1180,2.0
511,9302-260,2.0
410,15-2130,1.0
410,15-2140,2.0
410,15-2150,1.0
410,15-2160,1.0
410,40-5218,1.0
410,9301-210,0.12
410,9301-244,1.0
410,33-2380,2.0
350.1,33-2380,2.0
350.1,30-2600,1.0
350.1,9300-488,1.0
350.1,33-2582,1.0
512,9302-240,6.0
512,9300-100,0.05
512,33-1720,0.01
512,33-1160,0.01
512,9302-250,1.0
